run_seed,baseline_model,candidate_model,subset,n_samples,baseline_mae,candidate_mae,candidate_mae_gain,candidate_better_rate
42,visual,residual_transformer,all_test_windows,15579,0.28371934698224716,0.2785683511057824,0.0051509958764648055,0.5219205340522498
42,visual,residual_transformer,at_least_2_missing_images,15281,0.28492102681650444,0.27968719303432416,0.005233833782180318,0.5230024213075061
42,visual,residual_transformer,at_least_4_missing_images,15101,0.28584308716155277,0.28041808872489404,0.0054249984366587,0.5232766041983975
100,visual,residual_transformer,all_test_windows,15579,0.2741866814048753,0.2950980511026317,-0.020911369697756407,0.4134411708068554
100,visual,residual_transformer,at_least_2_missing_images,15281,0.27610304068383196,0.29697245759229435,-0.020869416908462373,0.4138472613048884
100,visual,residual_transformer,at_least_4_missing_images,15101,0.27701095509754886,0.2979151940047366,-0.020904238907187737,0.414012317065095
2000,visual,residual_transformer,all_test_windows,15579,0.294660254447296,0.29564481819461846,-0.0009845637473225055,0.5067077476089608
2000,visual,residual_transformer,at_least_2_missing_images,15281,0.2963584497581718,0.29618880758266175,0.00016964217551005556,0.5102414763431713
2000,visual,residual_transformer,at_least_4_missing_images,15101,0.2972923180384554,0.2967698855255149,0.0005224325129404978,0.5115555261240977
2025,visual,residual_transformer,all_test_windows,15579,0.2834378973159384,0.2830752071653881,0.00036269015055029037,0.498491559150138
2025,visual,residual_transformer,at_least_2_missing_images,15281,0.28476395384505987,0.28376738768146265,0.0009965661635972056,0.500621687062365
2025,visual,residual_transformer,at_least_4_missing_images,15101,0.28581881854685875,0.2845252116747498,0.001293606872108944,0.5008277597510099
2026,visual,residual_transformer,all_test_windows,15579,0.28929143539939,0.2963743618451491,-0.00708292644575905,0.4853328198215547
2026,visual,residual_transformer,at_least_2_missing_images,15281,0.2905442594241491,0.29774472028685994,-0.007200460862710864,0.4847195864145017
2026,visual,residual_transformer,at_least_4_missing_images,15101,0.2914865901237939,0.2984683264028899,-0.006981736279095998,0.48486855175153964
2027,visual,residual_transformer,all_test_windows,15579,0.29218737022646724,0.27757410631535473,0.014613263911112522,0.5526028628281662
2027,visual,residual_transformer,at_least_2_missing_images,15281,0.2935742294669003,0.2788963505722654,0.014677878894634911,0.5518617891499248
2027,visual,residual_transformer,at_least_4_missing_images,15101,0.29454389280629045,0.279611483874459,0.014932408931831457,0.5525461889941063
2048,visual,residual_transformer,all_test_windows,15579,0.2762642510321872,0.28030145430765363,-0.004037203275466414,0.49309968547403554
2048,visual,residual_transformer,at_least_2_missing_images,15281,0.2775102024747395,0.2816417573142852,-0.004131554839545684,0.49263791636672993
2048,visual,residual_transformer,at_least_4_missing_images,15101,0.27857299157621274,0.28260671447487146,-0.0040337228986587195,0.4930799284815575
4096,visual,residual_transformer,all_test_windows,15579,0.28719559994609484,0.28593945475687943,0.0012561451892153703,0.4955388664227486
4096,visual,residual_transformer,at_least_2_missing_images,15281,0.2884759364363083,0.28704586521148934,0.0014300712248190176,0.49499378312937636
4096,visual,residual_transformer,at_least_4_missing_images,15101,0.28942003013929635,0.2877120429037044,0.0017079872355919927,0.4955963181246275
7000,visual,residual_transformer,all_test_windows,15579,0.2878883605637242,0.2967873808737552,-0.00889902031003101,0.469349765710251
7000,visual,residual_transformer,at_least_2_missing_images,15281,0.2893657936459163,0.2985582691814472,-0.009192475535530873,0.4690138079968588
7000,visual,residual_transformer,at_least_4_missing_images,15101,0.2902562970807557,0.29952878562372004,-0.009272488542964353,0.46924044765247336
8192,visual,residual_transformer,all_test_windows,15579,0.2951958777088969,0.33125053889730466,-0.03605466118840781,0.39842095128057
8192,visual,residual_transformer,at_least_2_missing_images,15281,0.29665279229284386,0.332936060521453,-0.036283268228609146,0.3974216347097703
8192,visual,residual_transformer,at_least_4_missing_images,15101,0.29745900350709237,0.33355591627282266,-0.03609691276573028,0.397986888285544
