run_seed,subset,n_samples,n_subjects,mae_gain,ci_low,ci_high
42,all_test_windows,15636,9,0.003752225574918889,-0.019649177528951033,0.03756091291462433
42,at_least_2_missing_images,1538,9,0.0015421522919316286,-0.02153346063106544,0.03158653965495268
42,at_least_4_missing_images,165,9,0.026718133868593157,-0.024337904933182625,0.09415530259667358
100,all_test_windows,15636,9,0.0020698801761821423,-0.008233052905232647,0.013674694751385268
100,at_least_2_missing_images,1538,9,0.0035303623375564,-0.0214722668299052,0.032243938466230436
100,at_least_4_missing_images,165,9,-0.01292257164463854,-0.0633367183984323,0.09179353828830356
2000,all_test_windows,15636,9,0.00946170901300719,-0.009870792650268497,0.029881803011386064
2000,at_least_2_missing_images,1538,9,0.02516922157049489,-0.0057633946679190974,0.05267880194568457
2000,at_least_4_missing_images,165,9,-0.01137347654862838,-0.06474464554146288,0.05434647187590595
2025,all_test_windows,15636,9,0.0017871145672674943,-0.013566261264830242,0.01810165468066114
2025,at_least_2_missing_images,1538,9,-0.004702249180976064,-0.04015153422895917,0.024471300790347785
2025,at_least_4_missing_images,165,9,-0.005328961574670035,-0.03350720957571324,0.027021875973380353
2026,all_test_windows,15636,9,-0.010697999583634918,-0.03534270181125908,0.014213781340843097
2026,at_least_2_missing_images,1538,9,-0.019923465769684675,-0.0392414598128879,0.0020911566589923223
2026,at_least_4_missing_images,165,9,0.029440755555123956,-0.0030671328577888653,0.06176744582197908
2027,all_test_windows,15636,9,-0.003683898494078333,-0.032825159681555985,0.01872379486289504
2027,at_least_2_missing_images,1538,9,-0.002897976588830836,-0.0458411713881945,0.030832319399582878
2027,at_least_4_missing_images,165,9,0.046626326532074894,-0.04410877261419097,0.11153608622650306
2048,all_test_windows,15636,9,0.0012678210770086576,-0.018494955484636807,0.022182797922861777
2048,at_least_2_missing_images,1538,9,0.01039958108696113,-0.016975300717623126,0.03189125876722684
2048,at_least_4_missing_images,165,9,0.03853419043801046,-0.024446823069974515,0.08899250287402623
4096,all_test_windows,15636,9,0.00966886761670956,-0.027635399307904034,0.05466583967106414
4096,at_least_2_missing_images,1538,9,0.007965208185044632,-0.01998683080204534,0.04158881935597478
4096,at_least_4_missing_images,165,9,-0.015140888907692636,-0.04282437878112783,0.017552711944294083
7000,all_test_windows,15636,9,0.0011142807014155004,-0.019270891939383934,0.021083770881294043
7000,at_least_2_missing_images,1538,9,-0.0032294108126656386,-0.025103280437461226,0.0206382142470186
7000,at_least_4_missing_images,165,9,-0.02131686355128433,-0.06933164411087972,0.061831743744286634
8192,all_test_windows,15636,9,0.018184943999985537,0.005171626149770546,0.03188214342991671
8192,at_least_2_missing_images,1538,9,0.014054384901247661,-0.019571829957257567,0.044484725591183986
8192,at_least_4_missing_images,165,9,-0.04446195689114657,-0.09560753318464708,0.04925422206397104
