run_seed,baseline_model,candidate_model,subset,n_samples,baseline_mae,candidate_mae,candidate_mae_gain,candidate_better_rate
42,visual,residual_transformer,all_test_windows,15636,0.28382908190934364,0.28007685633442475,0.003752225574918889,0.5237272959836275
42,visual,residual_transformer,at_least_2_missing_images,1538,0.2905192669718411,0.2889771146799095,0.0015421522919316286,0.523407022106632
42,visual,residual_transformer,at_least_4_missing_images,165,0.34457683274240203,0.3178586988738089,0.026718133868593157,0.5575757575757576
100,visual,residual_transformer,all_test_windows,15636,0.27447163406068575,0.2724017538845036,0.0020698801761821423,0.49494755691992837
100,visual,residual_transformer,at_least_2_missing_images,1538,0.27776368123192163,0.2742333188943652,0.0035303623375564,0.4837451235370611
100,visual,residual_transformer,at_least_4_missing_images,165,0.3100770935867772,0.3229996652314157,-0.01292257164463854,0.42424242424242425
2000,visual,residual_transformer,all_test_windows,15636,0.29491523919919166,0.28545353018618447,0.00946170901300719,0.5184190330007674
2000,visual,residual_transformer,at_least_2_missing_images,1538,0.30520017993465665,0.28003095836416175,0.02516922157049489,0.570221066319896
2000,visual,residual_transformer,at_least_4_missing_images,165,0.31894122181516704,0.3303146983637954,-0.01137347654862838,0.46060606060606063
2025,visual,residual_transformer,all_test_windows,15636,0.28355154630685897,0.2817644317395915,0.0017871145672674943,0.5120235354310565
2025,visual,residual_transformer,at_least_2_missing_images,1538,0.28196552112911705,0.2866677703100931,-0.004702249180976064,0.5026007802340702
2025,visual,residual_transformer,at_least_4_missing_images,165,0.30179933201182974,0.3071282935864998,-0.005328961574670035,0.5151515151515151
2026,visual,residual_transformer,all_test_windows,15636,0.2894649141339214,0.3001629137175563,-0.010697999583634918,0.4566385264773599
2026,visual,residual_transformer,at_least_2_missing_images,1538,0.2838058837523541,0.3037293495220388,-0.019923465769684675,0.42197659297789336
2026,visual,residual_transformer,at_least_4_missing_images,165,0.3413989052628026,0.3119581497076786,0.029440755555123956,0.6
2027,visual,residual_transformer,all_test_windows,15636,0.2922599111624342,0.29594380965651257,-0.003683898494078333,0.49053466359682785
2027,visual,residual_transformer,at_least_2_missing_images,1538,0.30330594184339743,0.3062039184322283,-0.002897976588830836,0.5052015604681405
2027,visual,residual_transformer,at_least_4_missing_images,165,0.36598482565446333,0.31935849912238845,0.046626326532074894,0.6363636363636364
2048,visual,residual_transformer,all_test_windows,15636,0.27634516726616065,0.27507734618915197,0.0012678210770086576,0.5156050140700946
2048,visual,residual_transformer,at_least_2_missing_images,1538,0.2820899526846579,0.2716903715976968,0.01039958108696113,0.5266579973992198
2048,visual,residual_transformer,at_least_4_missing_images,165,0.34138713749972255,0.3028529470617121,0.03853419043801046,0.6545454545454545
4096,visual,residual_transformer,all_test_windows,15636,0.2874314146262662,0.27776254700955666,0.00966886761670956,0.5214888718342287
4096,visual,residual_transformer,at_least_2_missing_images,1538,0.29389173451263667,0.285926526327592,0.007965208185044632,0.5396618985695709
4096,visual,residual_transformer,at_least_4_missing_images,165,0.31086077112140076,0.3260016600290934,-0.015140888907692636,0.46060606060606063
7000,visual,residual_transformer,all_test_windows,15636,0.28803952419108275,0.28692524348966725,0.0011142807014155004,0.4810053722179586
7000,visual,residual_transformer,at_least_2_missing_images,1538,0.2939239793078022,0.2971533901204678,-0.0032294108126656386,0.48634590377113135
7000,visual,residual_transformer,at_least_4_missing_images,165,0.3161390766952977,0.33745594024658204,-0.02131686355128433,0.46060606060606063
8192,visual,residual_transformer,all_test_windows,15636,0.2953168648257223,0.27713192082573673,0.018184943999985537,0.5555129189050908
8192,visual,residual_transformer,at_least_2_missing_images,1538,0.3069999155979628,0.29294553069671514,0.014054384901247661,0.5513654096228868
8192,visual,residual_transformer,at_least_4_missing_images,165,0.3326652223413641,0.37712717923251066,-0.04446195689114657,0.3575757575757576
