run_seed,model,attribute,attention_bin,groups_present,window_mae_gap,subject_balanced_mae_gap
42,subject_age_gap,age_group,"(1.999, 2.5]",4,0.16463481422397375,0.16482967873284649
42,subject_age_gap,age_group,"(2.5, 3.0]",4,0.061953290690341806,0.0594012930827677
42,subject_age_gap,age_group,"(3.0, 3.5]",4,0.14986097143311156,0.11119097803101058
42,subject_age_gap,age_group,"(3.5, 4.75]",4,0.3213923881046572,0.30475126817559817
42,subject_age_gap,gender,"(1.999, 2.5]",2,0.0010127005139994871,0.026893986333120734
42,subject_age_gap,gender,"(2.5, 3.0]",2,0.04835296919150059,0.04383509478945491
42,subject_age_gap,gender,"(3.0, 3.5]",2,0.01970699495836603,0.060657972565129004
42,subject_age_gap,gender,"(3.5, 4.75]",2,0.15013652530421728,0.00294146802644335
100,subject_age_gap,age_group,"(1.999, 2.5]",4,0.12354486207309828,0.16552523163977229
100,subject_age_gap,age_group,"(2.5, 3.0]",4,0.05307293467127755,0.04408775041660179
100,subject_age_gap,age_group,"(3.0, 3.5]",4,0.10943476189055618,0.0498295801542471
100,subject_age_gap,age_group,"(3.5, 4.75]",4,0.2672770657800192,0.21549132026746098
100,subject_age_gap,gender,"(1.999, 2.5]",2,0.06710007904733806,0.1185583560024705
100,subject_age_gap,gender,"(2.5, 3.0]",2,0.015751422950654653,0.006593189996627308
100,subject_age_gap,gender,"(3.0, 3.5]",2,0.04395611933628385,0.004858403604103556
100,subject_age_gap,gender,"(3.5, 4.75]",2,0.01902245619026377,0.12076934304113629
2000,subject_age_gap,age_group,"(1.999, 2.5]",4,0.2193702414405665,0.18372262041297688
2000,subject_age_gap,age_group,"(2.5, 3.0]",4,0.1782125813905714,0.16550323539940237
2000,subject_age_gap,age_group,"(3.0, 3.5]",4,0.08720217997700747,0.08119980776481833
2000,subject_age_gap,age_group,"(3.5, 4.75]",4,0.46420202212584444,0.3816564504296942
2000,subject_age_gap,gender,"(1.999, 2.5]",2,0.017933215685427606,0.027875607677753933
2000,subject_age_gap,gender,"(2.5, 3.0]",2,0.14425648892724774,0.1209425133777792
2000,subject_age_gap,gender,"(3.0, 3.5]",2,0.012549964852355322,0.028708436639804935
2000,subject_age_gap,gender,"(3.5, 4.75]",2,0.06440777047158874,0.0870006944264704
2025,subject_age_gap,age_group,"(1.999, 2.5]",4,0.16072456701365906,0.16533555933587213
2025,subject_age_gap,age_group,"(2.5, 3.0]",4,0.03347416844616116,0.023704516845756585
2025,subject_age_gap,age_group,"(3.0, 3.5]",4,0.20253126445326275,0.20262452755659632
2025,subject_age_gap,age_group,"(3.5, 4.75]",4,0.350615130084576,0.2853894269177085
2025,subject_age_gap,gender,"(1.999, 2.5]",2,0.028313539676750932,0.06593558352754214
2025,subject_age_gap,gender,"(2.5, 3.0]",2,0.01915351813363725,0.01615581837382707
2025,subject_age_gap,gender,"(3.0, 3.5]",2,0.0027896999763453723,0.0693872479964538
2025,subject_age_gap,gender,"(3.5, 4.75]",2,0.11573775934630282,0.0018115646392149465
2026,subject_age_gap,age_group,"(1.999, 2.5]",4,0.17000478179535106,0.2181816582782256
2026,subject_age_gap,age_group,"(2.5, 3.0]",4,0.05572441522075723,0.057742501101953295
2026,subject_age_gap,age_group,"(3.0, 3.5]",4,0.13942218037578907,0.09419319162035289
2026,subject_age_gap,age_group,"(3.5, 4.75]",4,0.2721571474904616,0.22281434479372242
2026,subject_age_gap,gender,"(1.999, 2.5]",2,0.061129401106583436,0.13548202012064092
2026,subject_age_gap,gender,"(2.5, 3.0]",2,0.018950450530407947,0.014708757530306982
2026,subject_age_gap,gender,"(3.0, 3.5]",2,0.0412618842402484,0.002502167674860001
2026,subject_age_gap,gender,"(3.5, 4.75]",2,0.13714796129474272,0.10210668259676337
2027,subject_age_gap,age_group,"(1.999, 2.5]",4,0.2039926436029601,0.20520224923411612
2027,subject_age_gap,age_group,"(2.5, 3.0]",4,0.07345587685501259,0.07623231409045031
2027,subject_age_gap,age_group,"(3.0, 3.5]",4,0.1419550778608723,0.13744818440492806
2027,subject_age_gap,age_group,"(3.5, 4.75]",4,0.24000912861687818,0.18275898580775862
2027,subject_age_gap,gender,"(1.999, 2.5]",2,0.0911083102963704,0.013500376528995606
2027,subject_age_gap,gender,"(2.5, 3.0]",2,0.04590557715101687,0.039389046988445
2027,subject_age_gap,gender,"(3.0, 3.5]",2,0.06856382398351457,0.03443508895157832
2027,subject_age_gap,gender,"(3.5, 4.75]",2,0.02129762363203791,0.05631525186550945
2048,subject_age_gap,age_group,"(1.999, 2.5]",4,0.09620243871016121,0.12070159712852002
2048,subject_age_gap,age_group,"(2.5, 3.0]",4,0.036553366243831445,0.03860239742719211
2048,subject_age_gap,age_group,"(3.0, 3.5]",4,0.09725983830053031,0.09360425213118062
2048,subject_age_gap,age_group,"(3.5, 4.75]",4,0.36787308253090295,0.2820968560527519
2048,subject_age_gap,gender,"(1.999, 2.5]",2,0.01802511756619868,0.05248142304561226
2048,subject_age_gap,gender,"(2.5, 3.0]",2,0.019331823746472104,0.01849608320163615
2048,subject_age_gap,gender,"(3.0, 3.5]",2,0.09136649805440877,0.06625415558268044
2048,subject_age_gap,gender,"(3.5, 4.75]",2,0.20590820760905204,0.03669871204287034
4096,subject_age_gap,age_group,"(1.999, 2.5]",4,0.1363499104325417,0.13309340878624754
4096,subject_age_gap,age_group,"(2.5, 3.0]",4,0.08605748332792354,0.07426188604344228
4096,subject_age_gap,age_group,"(3.0, 3.5]",4,0.21796589748557288,0.1869830593175109
4096,subject_age_gap,age_group,"(3.5, 4.75]",4,0.5120126411634928,0.38174703602993043
4096,subject_age_gap,gender,"(1.999, 2.5]",2,0.20655325524660662,0.170955780671889
4096,subject_age_gap,gender,"(2.5, 3.0]",2,0.03828238996204375,0.020871580702929604
4096,subject_age_gap,gender,"(3.0, 3.5]",2,0.21117900777469828,0.19163286659188888
4096,subject_age_gap,gender,"(3.5, 4.75]",2,0.3331026358031479,0.25357040955244925
7000,subject_age_gap,age_group,"(1.999, 2.5]",4,0.16940908120655201,0.17281680277162692
7000,subject_age_gap,age_group,"(2.5, 3.0]",4,0.10699843098009784,0.08878681238816835
7000,subject_age_gap,age_group,"(3.0, 3.5]",4,0.29289201111956376,0.16159609737748082
7000,subject_age_gap,age_group,"(3.5, 4.75]",4,0.5400779412959887,0.37951096791182803
7000,subject_age_gap,gender,"(1.999, 2.5]",2,0.12046061477507933,0.028629646682253262
7000,subject_age_gap,gender,"(2.5, 3.0]",2,0.050490359552816555,0.04018629941976962
7000,subject_age_gap,gender,"(3.0, 3.5]",2,0.00981729753723748,0.09949655057777612
7000,subject_age_gap,gender,"(3.5, 4.75]",2,0.03606037692787889,0.01578846419494384
8192,subject_age_gap,age_group,"(1.999, 2.5]",4,0.13451195088828483,0.08956715994235986
8192,subject_age_gap,age_group,"(2.5, 3.0]",4,0.028067895903218204,0.027581203957792955
8192,subject_age_gap,age_group,"(3.0, 3.5]",4,0.10887195643790337,0.06862497833516329
8192,subject_age_gap,age_group,"(3.5, 4.75]",4,0.3538362687138299,0.24982271874633966
8192,subject_age_gap,gender,"(1.999, 2.5]",2,0.1125910414536021,0.05675057630730046
