run_seed,model,attribute,attention_bin,age_group,n_samples,n_subjects,window_mae,subject_balanced_mae,gender
42,subject_age_gap,age_group,"(1.999, 2.5]","(13.0, 20.0]",1025,3,0.3612097444766905,0.3725859027985395,
42,subject_age_gap,age_group,"(1.999, 2.5]","(20.0, 22.0]",663,2,0.519760709003086,0.5199555735119588,
42,subject_age_gap,age_group,"(1.999, 2.5]","(22.0, 26.0]",1892,3,0.3981801841022096,0.3735993594983209,
42,subject_age_gap,age_group,"(1.999, 2.5]","(26.0, 44.0]",205,1,0.35512589477911227,0.35512589477911227,
42,subject_age_gap,age_group,"(2.5, 3.0]","(13.0, 20.0]",2996,3,0.20302517511179355,0.20047317750421945,
42,subject_age_gap,age_group,"(2.5, 3.0]","(20.0, 22.0]",1717,2,0.18722204017861332,0.18252725351558494,
42,subject_age_gap,age_group,"(2.5, 3.0]","(22.0, 26.0]",2209,3,0.14971622626346504,0.1517609660113104,
42,subject_age_gap,age_group,"(2.5, 3.0]","(26.0, 44.0]",1211,1,0.14107188442145174,0.14107188442145174,
42,subject_age_gap,age_group,"(3.0, 3.5]","(13.0, 20.0]",772,3,0.2622449407305742,0.2694646148295558,
42,subject_age_gap,age_group,"(3.0, 3.5]","(20.0, 22.0]",512,2,0.3304236992262304,0.31739929533325967,
42,subject_age_gap,age_group,"(3.0, 3.5]","(22.0, 26.0]",1509,3,0.41210591216368575,0.3806555928605664,
42,subject_age_gap,age_group,"(3.0, 3.5]","(26.0, 44.0]",162,1,0.3471881062896163,0.3471881062896163,
42,subject_age_gap,age_group,"(3.5, 4.75]","(13.0, 20.0]",202,3,0.48436503481156756,0.5839505445897876,
42,subject_age_gap,age_group,"(3.5, 4.75]","(20.0, 22.0]",38,2,0.6690884640342311,0.6690884640342312,
42,subject_age_gap,age_group,"(3.5, 4.75]","(22.0, 26.0]",488,3,0.8057574229162248,0.8887018127653857,
42,subject_age_gap,age_group,"(3.5, 4.75]","(26.0, 44.0]",35,1,0.6427889755793981,0.6427889755793981,
42,subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.4066756504702281,0.3947678744104721,female
42,subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.40768835098422757,0.42166186074359285,male
42,subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.1916150030095217,0.1882593451519529,female
42,subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.1432620338180211,0.14442425036249798,male
42,subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.350007557319606,0.3055970447034573,female
42,subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.369714552277972,0.3662550172685863,male
42,subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6536536650224165,0.7100109524037833,female
42,subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.8037901903266338,0.7129524204302267,male
