model,attribute,attention_bin,groups_present,window_mae_gap,subject_balanced_mae_gap
baseline,age_group,"(1.999, 2.5]",4,0.08765840689123788,0.08657769327067122
baseline,age_group,"(2.5, 3.0]",4,0.05629073194969972,0.0521670215934974
baseline,age_group,"(3.0, 3.5]",4,0.13514686158291628,0.1224881050266175
baseline,age_group,"(3.5, 4.75]",4,0.3076247277869901,0.26285948937761683
baseline,gender,"(1.999, 2.5]",2,0.09118711627237741,0.034745706436453416
baseline,gender,"(2.5, 3.0]",2,0.03612670482982627,0.029033363341100377
baseline,gender,"(3.0, 3.5]",2,0.09931448417615596,0.1187100154353733
baseline,gender,"(3.5, 4.75]",2,0.08986509406241328,0.008864115814278373
subject_age_gap,age_group,"(1.999, 2.5]",4,0.1253194883603579,0.13923296457068796
subject_age_gap,age_group,"(2.5, 3.0]",4,0.06284655221697551,0.058382506909123125
subject_age_gap,age_group,"(3.0, 3.5]",4,0.12632892419645764,0.09747719744873268
subject_age_gap,age_group,"(3.5, 4.75]",4,0.3681061504046225,0.2883782984149037
subject_age_gap,gender,"(1.999, 2.5]",2,0.04370061216748794,0.011376062495175754
subject_age_gap,gender,"(2.5, 3.0]",2,0.047715320378851775,0.040225857388579145
subject_age_gap,gender,"(3.0, 3.5]",2,0.05313554737131154,0.0751011838484425
subject_age_gap,gender,"(3.5, 4.75]",2,0.10597807828017392,0.01275061648169673
