model,attribute,attention_bin,age_group,n_samples,n_subjects,window_mae,subject_balanced_mae,gender
baseline,age_group,"(1.999, 2.5]","(13, 20]",1025,3,0.36776808261871335,0.372754180558802,
baseline,age_group,"(1.999, 2.5]","(20, 22]",663,2,0.44341953735725553,0.44227976023563614,
baseline,age_group,"(1.999, 2.5]","(22, 26]",1892,3,0.35576113046601765,0.3557020669649649,
baseline,age_group,"(1.999, 2.5]","(26, 44]",205,1,0.361774001586728,0.361774001586728,
baseline,age_group,"(2.5, 3.0]","(13, 20]",2996,3,0.18398095765642233,0.17985724730022,
baseline,age_group,"(2.5, 3.0]","(20, 22]",1717,2,0.15031725118933686,0.1486153235475428,
baseline,age_group,"(2.5, 3.0]","(22, 26]",2209,3,0.13810925884125944,0.13479909202679194,
baseline,age_group,"(2.5, 3.0]","(26, 44]",1211,1,0.12769022570672262,0.12769022570672262,
baseline,age_group,"(3.0, 3.5]","(13, 20]",772,3,0.25302438973762825,0.26568314629392703,
baseline,age_group,"(3.0, 3.5]","(20, 22]",512,2,0.3650210567750037,0.34785421560752905,
baseline,age_group,"(3.0, 3.5]","(22, 26]",1509,3,0.38160081115126054,0.37705003818369076,
baseline,age_group,"(3.0, 3.5]","(26, 44]",162,1,0.38817125132054453,0.38817125132054453,
baseline,age_group,"(3.5, 4.75]","(13, 20]",202,3,0.5194770401067073,0.6114328733437492,
baseline,age_group,"(3.5, 4.75]","(20, 22]",38,2,0.7382806602277254,0.7382806602277254,
baseline,age_group,"(3.5, 4.75]","(22, 26]",488,3,0.8271017678936974,0.874292362721366,
baseline,age_group,"(3.5, 4.75]","(26, 44]",35,1,0.6516405507496426,0.6516405507496426,
baseline,gender,"(1.999, 2.5]",,2075,6,0.4158898641862065,0.39288215377096236,female
baseline,gender,"(1.999, 2.5]",,1710,3,0.3247027479138291,0.35813644733450894,male
baseline,gender,"(2.5, 3.0]",,5504,6,0.16771117577026057,0.16177666453401612,female
baseline,gender,"(2.5, 3.0]",,2629,3,0.1315844709404343,0.13274330119291575,male
baseline,gender,"(3.0, 3.5]",,2170,6,0.3191144184802534,0.29510546551803735,female
baseline,gender,"(3.0, 3.5]",,785,3,0.41842890265640936,0.41381548095341064,male
baseline,gender,"(3.5, 4.75]",,495,6,0.7016228885843295,0.728753914661956,female
baseline,gender,"(3.5, 4.75]",,268,3,0.7914879826467428,0.7376180304762344,male
subject_age_gap,age_group,"(1.999, 2.5]","(13, 20]",1025,3,0.3942798117195688,0.39493014765043627,
subject_age_gap,age_group,"(1.999, 2.5]","(20, 22]",663,2,0.49365345212668854,0.49469181117981464,
subject_age_gap,age_group,"(1.999, 2.5]","(22, 26]",1892,3,0.37563994122358,0.3554588466091267,
subject_age_gap,age_group,"(1.999, 2.5]","(26, 44]",205,1,0.36833396376633065,0.36833396376633065,
subject_age_gap,age_group,"(2.5, 3.0]","(13, 20]",2996,3,0.17511340623226598,0.1706493609244136,
subject_age_gap,age_group,"(2.5, 3.0]","(20, 22]",1717,2,0.15769497833074214,0.15496273830346013,
subject_age_gap,age_group,"(2.5, 3.0]","(22, 26]",2209,3,0.14788433394857314,0.1447933912396144,
subject_age_gap,age_group,"(2.5, 3.0]","(26, 44]",1211,1,0.11226685401529048,0.11226685401529048,
subject_age_gap,age_group,"(3.0, 3.5]","(13, 20]",772,3,0.2627372865540994,0.2843377369933401,
subject_age_gap,age_group,"(3.0, 3.5]","(20, 22]",512,2,0.3414412188343704,0.3270397147163111,
subject_age_gap,age_group,"(3.0, 3.5]","(22, 26]",1509,3,0.38906621075055703,0.3774887162280222,
subject_age_gap,age_group,"(3.0, 3.5]","(26, 44]",162,1,0.38181493444207276,0.38181493444207276,
subject_age_gap,age_group,"(3.5, 4.75]","(13, 20]",202,3,0.4335856002156097,0.5653755148676892,
subject_age_gap,age_group,"(3.5, 4.75]","(20, 22]",38,2,0.6889391754802904,0.6889391754802905,
subject_age_gap,age_group,"(3.5, 4.75]","(22, 26]",488,3,0.8016917506202322,0.8537538132825929,
subject_age_gap,age_group,"(3.5, 4.75]","(26, 44]",35,1,0.7135615117209297,0.7135615117209297,
subject_age_gap,gender,"(1.999, 2.5]",,2075,6,0.4207070869078119,0.3971951534910135,female
subject_age_gap,gender,"(1.999, 2.5]",,1710,3,0.37700647474032395,0.40857121598618923,male
subject_age_gap,gender,"(2.5, 3.0]",,5504,6,0.17010663642526366,0.1654664621422258,female
subject_age_gap,gender,"(2.5, 3.0]",,2629,3,0.12239131604641189,0.12524060475364665,male
subject_age_gap,gender,"(3.0, 3.5]",,2170,6,0.3332976703819591,0.31067446355482825,female
subject_age_gap,gender,"(3.0, 3.5]",,785,3,0.38643321775327066,0.38577564740327075,male
subject_age_gap,gender,"(3.5, 4.75]",,495,6,0.6573552845945262,0.7011751108541407,female
subject_age_gap,gender,"(3.5, 4.75]",,268,3,0.7633333628747001,0.7139257273358375,male
