model,metric,mean,ci_low,ci_high
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,mae,0.2906605158249704,0.25599990627976105,0.3221352352084146
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,rmse,0.36629765627232,0.32587467080420773,0.40077227144727035
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,r2,0.05642957372367286,-0.16192051931985701,0.21359373290559933
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,gender_gap,0.03682919610159291,0.0,0.1002755608683265
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,gender_worst_group_mae,0.3078785192551967,0.26545395869074107,0.34719249474027863
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,age_gap,0.12222004088708407,0.07415546263295128,0.1483371373753293
subject_age_mae_gap_residual_transformer_lambda0p8_seed42,age_worst_group_mae,0.3420047429369348,0.328762713085366,0.34820133317712276
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,mae,0.28674072306264864,0.23762203597305473,0.3344206796218446
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,rmse,0.36179489252127145,0.3078511731789475,0.41115568729420904
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,r2,0.088435172189617,-0.11442901345578468,0.23903583023500743
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,gender_gap,0.048698545469682004,0.0002650448044077425,0.12297138079596141
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,gender_worst_group_mae,0.31165470336417345,0.249859605357399,0.3541223488963198
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,age_gap,0.14511606810129676,0.05209645344957986,0.2009972620983841
subject_age_mae_gap_residual_transformer_lambda0p8_seed100,age_worst_group_mae,0.3492720879881762,0.27891800053230753,0.3873974779887281
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,mae,0.33188110218707445,0.2877824086451944,0.3717658753178292
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,rmse,0.41567151570143424,0.3692466064545015,0.45429534655963455
subject_age_mae_gap_residual_transformer_lambda0p8_seed2000,r2,-0.21948095667125764,-0.7962440925969549,0.1300605295468493
