run_seed,model,attribute,attention_bin,gender,n_samples,n_subjects,window_mae,subject_balanced_mae,age_group
42,baseline,gender,"(1.999, 2.5]",female,2333,6,0.5008141020567591,0.4485356589374169,
42,baseline,gender,"(1.999, 2.5]",male,1710,3,0.3368734232863488,0.3979095405653165,
42,baseline,gender,"(2.5, 3.0]",female,5504,6,0.1905007066075192,0.18441434084199623,
42,baseline,gender,"(2.5, 3.0]",male,2629,3,0.151580112793909,0.1560873437916771,
42,baseline,gender,"(3.0, 3.5]",female,2170,6,0.29042969387247813,0.29078707997556885,
42,baseline,gender,"(3.0, 3.5]",male,785,3,0.404225412903318,0.39451647885260854,
42,baseline,gender,"(3.5, 4.75]",female,495,6,0.5883181287784769,0.6457591666239385,
42,baseline,gender,"(3.5, 4.75]",male,268,3,0.8032127698855613,0.6957159326273809,
42,baseline,age_group,"(1.999, 2.5]",,1025,3,0.4005689013876566,0.41959143922066017,"(13, 20]"
42,baseline,age_group,"(1.999, 2.5]",,663,2,0.5049749388054665,0.5070248393459142,"(20, 22]"
42,baseline,age_group,"(1.999, 2.5]",,2150,3,0.4293713529719863,0.413920930097933,"(22, 26]"
42,baseline,age_group,"(1.999, 2.5]",,205,1,0.37035578867284263,0.37035578867284263,"(26, 44]"
42,baseline,age_group,"(2.5, 3.0]",,2996,3,0.210321250362931,0.20371807747799373,"(13, 20]"
42,baseline,age_group,"(2.5, 3.0]",,1717,2,0.1762284620181724,0.17379890811845816,"(20, 22]"
42,baseline,age_group,"(2.5, 3.0]",,2209,3,0.16071064248782252,0.16148299712023712,"(22, 26]"
42,baseline,age_group,"(2.5, 3.0]",,1211,1,0.13154703639539975,0.13154703639539975,"(26, 44]"
42,baseline,age_group,"(3.0, 3.5]",,772,3,0.25738417515482925,0.2737845015787695,"(13, 20]"
42,baseline,age_group,"(3.0, 3.5]",,512,2,0.3291350631043315,0.3136644981080525,"(20, 22]"
42,baseline,age_group,"(3.0, 3.5]",,1509,3,0.34836126795819927,0.3807386612136134,"(22, 26]"
42,baseline,age_group,"(3.0, 3.5]",,162,1,0.33737343181798485,0.33737343181798485,"(26, 44]"
42,baseline,age_group,"(3.5, 4.75]",,202,3,0.3988300408467208,0.5124543973561345,"(13, 20]"
42,baseline,age_group,"(3.5, 4.75]",,38,2,0.6508331863503707,0.6508331863503707,"(20, 22]"
42,baseline,age_group,"(3.5, 4.75]",,488,3,0.7762669202734213,0.8278919381055879,"(22, 26]"
42,baseline,age_group,"(3.5, 4.75]",,35,1,0.6389974185398647,0.6389974185398647,"(26, 44]"
42,subject_gender_gap,gender,"(1.999, 2.5]",female,2333,6,0.38012406175043567,0.3464577469889077,
42,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3335034886298821,0.35614702743285925,
42,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.2199302176663349,0.2245919677831626,
42,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.13795262563813546,0.13736566471896303,
42,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.44927220553297054,0.36659770157325217,
42,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.3911956787109375,0.38896752669707296,
42,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.8506840041189483,0.8442816931465362,
42,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7349919605610976,0.7442594895316949,
42,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3510967329071789,0.37003071567984236,"(13, 20]"
42,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.4317061933457042,0.43119059850364416,"(20, 22]"
42,subject_gender_gap,age_group,"(1.999, 2.5]",,2150,3,0.3449934240829113,0.2789060694527195,"(22, 26]"
42,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.3379960118270502,0.3379960118270502,"(26, 44]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.19842920085298363,0.18966027677799954,"(13, 20]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.1453658798508819,0.14356020613045753,"(20, 22]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.25309143707513704,0.25438723043609335,"(22, 26]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.14038586695267088,0.14038586695267088,"(26, 44]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.2859301990177965,0.29560550766844346,"(13, 20]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.36746493726968765,0.35965332159591845,"(20, 22]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.5381765656316415,0.4612315560645504,"(22, 26]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.37667095513991367,0.37667095513991367,"(26, 44]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.6182551490198268,0.726260379782166,"(13, 20]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.7067394193850065,0.7067394193850065,"(20, 22]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.9040958715266869,0.9961266533516916,"(22, 26]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.7178286893027169,0.7178286893027169,"(26, 44]"
2025,baseline,gender,"(1.999, 2.5]",female,2333,6,0.47617480952086694,0.38869871182089466,
2025,baseline,gender,"(1.999, 2.5]",male,1710,3,0.36332597509462233,0.38372567336130164,
2025,baseline,gender,"(2.5, 3.0]",female,5504,6,0.17755665547799232,0.17450960116349487,
2025,baseline,gender,"(2.5, 3.0]",male,2629,3,0.1402326908887861,0.14227608347876605,
2025,baseline,gender,"(3.0, 3.5]",female,2170,6,0.3555048144907446,0.32467834681471835,
2025,baseline,gender,"(3.0, 3.5]",male,785,3,0.35440790577299275,0.3453293811287741,
2025,baseline,gender,"(3.5, 4.75]",female,495,6,0.7246627350046178,0.768636242556628,
2025,baseline,gender,"(3.5, 4.75]",male,268,3,0.7073514959705409,0.6913948223031453,
2025,baseline,age_group,"(1.999, 2.5]",,1025,3,0.41031986771560297,0.3737884350466197,"(13, 20]"
2025,baseline,age_group,"(1.999, 2.5]",,663,2,0.3695661324001905,0.3706021120917556,"(20, 22]"
2025,baseline,age_group,"(1.999, 2.5]",,2150,3,0.456781255256298,0.4028302635975336,"(22, 26]"
2025,baseline,age_group,"(1.999, 2.5]",,205,1,0.4123089708933016,0.4123089708933016,"(26, 44]"
2025,baseline,age_group,"(2.5, 3.0]",,2996,3,0.20001148143024725,0.19914285461704503,"(13, 20]"
2025,baseline,age_group,"(2.5, 3.0]",,1717,2,0.12750002097861324,0.12984028358450475,"(20, 22]"
2025,baseline,age_group,"(2.5, 3.0]",,2209,3,0.16757686141390993,0.16220816427692097,"(22, 26]"
2025,baseline,age_group,"(2.5, 3.0]",,1211,1,0.13015223356635977,0.13015223356635977,"(26, 44]"
2025,baseline,age_group,"(3.0, 3.5]",,772,3,0.2565013151712368,0.2729533949911512,"(13, 20]"
2025,baseline,age_group,"(3.0, 3.5]",,512,2,0.3838688712567091,0.38418696483174597,"(20, 22]"
2025,baseline,age_group,"(3.0, 3.5]",,1509,3,0.4019696428097977,0.3657652688893103,"(22, 26]"
2025,baseline,age_group,"(3.0, 3.5]",,162,1,0.2995283029697559,0.2995283029697559,"(26, 44]"
2025,baseline,age_group,"(3.5, 4.75]",,202,3,0.48436378842533223,0.6044624307657751,"(13, 20]"
2025,baseline,age_group,"(3.5, 4.75]",,38,2,0.7604252727408157,0.7604252727408157,"(20, 22]"
2025,baseline,age_group,"(3.5, 4.75]",,488,3,0.8190973542752813,0.9094346925854597,"(22, 26]"
2025,baseline,age_group,"(3.5, 4.75]",,35,1,0.6234600067138671,0.6234600067138671,"(26, 44]"
2025,subject_gender_gap,gender,"(1.999, 2.5]",female,2333,6,0.43705740815010186,0.3919037289714522,
2025,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.2717328700405812,0.32768385268433736,
2025,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.14470168458687704,0.13926023084371653,
2025,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.1436387950270382,0.14432590341354545,
2025,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.40351938630029355,0.3493022414377,
2025,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.5244417202700475,0.5155032401444031,
2025,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.8366585423247983,0.8456394152961669,
2025,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.9338774885704269,0.8020115050507136,
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.34221092131079694,0.36325834525545536,"(13, 20]"
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.42601684459553946,0.42693390977402235,"(20, 22]"
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,2150,3,0.36532308478688086,0.35684914522751426,"(22, 26]"
2025,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.32028364088477157,0.32028364088477157,"(26, 44]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.14228065819224625,0.1384610791684361,"(13, 20]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.14841902415698258,0.14887895472817403,"(20, 22]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1455045715615241,0.13791642343791627,"(22, 26]"
2025,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.14164867802753023,0.14164867802753023,"(26, 44]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.3191927612754347,0.3198492690809953,"(13, 20]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.436173667665571,0.42056600973942126,"(20, 22]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.49233246781796,0.4602671322258711,"(22, 26]"
2025,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.4608419456599671,0.4608419456599671,"(26, 44]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.6124623010654261,0.7187002199799267,"(13, 20]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.8143033228422466,0.8143033228422466,"(20, 22]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.9961182929453303,1.006402116176795,"(22, 26]"
2025,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.6759573527744838,0.6759573527744838,"(26, 44]"
2026,baseline,gender,"(1.999, 2.5]",female,2333,6,0.537772005022313,0.45612824248357703,
2026,baseline,gender,"(1.999, 2.5]",male,1710,3,0.3653711567148131,0.42196852166519855,
2026,baseline,gender,"(2.5, 3.0]",female,5504,6,0.19425641641367314,0.18791333107828945,
2026,baseline,gender,"(2.5, 3.0]",male,2629,3,0.1387659445966138,0.139657368652686,
2026,baseline,gender,"(3.0, 3.5]",female,2170,6,0.349409919400369,0.3176844548149073,
2026,baseline,gender,"(3.0, 3.5]",male,785,3,0.4283358163894362,0.43362893080547954,
2026,baseline,gender,"(3.5, 4.75]",female,495,6,0.6567695073407106,0.6837006088945833,
2026,baseline,gender,"(3.5, 4.75]",male,268,3,0.8327769130023558,0.7138792113555507,
2026,baseline,age_group,"(1.999, 2.5]",,1025,3,0.4628008633125119,0.4174521814759185,"(13, 20]"
2026,baseline,age_group,"(1.999, 2.5]",,663,2,0.5506641181525781,0.5504711653570301,"(20, 22]"
2026,baseline,age_group,"(1.999, 2.5]",,2150,3,0.44464879424072973,0.4132869054040504,"(22, 26]"
2026,baseline,age_group,"(1.999, 2.5]",,205,1,0.4095154285430908,0.4095154285430908,"(26, 44]"
2026,baseline,age_group,"(2.5, 3.0]",,2996,3,0.1900780271783531,0.19043959280283487,"(13, 20]"
2026,baseline,age_group,"(2.5, 3.0]",,1717,2,0.20633061319572257,0.19408168975871848,"(20, 22]"
2026,baseline,age_group,"(2.5, 3.0]",,2209,3,0.15722614567222612,0.15080473285707088,"(22, 26]"
2026,baseline,age_group,"(2.5, 3.0]",,1211,1,0.13455573593064046,0.13455573593064046,"(26, 44]"
2026,baseline,age_group,"(3.0, 3.5]",,772,3,0.2973271562027808,0.3130087438782097,"(13, 20]"
2026,baseline,age_group,"(3.0, 3.5]",,512,2,0.30016601318493485,0.2813921534253509,"(20, 22]"
2026,baseline,age_group,"(3.0, 3.5]",,1509,3,0.4227349638069916,0.41750025921071005,"(22, 26]"
2026,baseline,age_group,"(3.0, 3.5]",,162,1,0.45268220518842156,0.45268220518842156,"(26, 44]"
2026,baseline,age_group,"(3.5, 4.75]",,202,3,0.4674503732435774,0.5882214014605306,"(13, 20]"
2026,baseline,age_group,"(3.5, 4.75]",,38,2,0.6014563158938759,0.6014563158938759,"(20, 22]"
2026,baseline,age_group,"(3.5, 4.75]",,488,3,0.837248733786286,0.8784936615510729,"(22, 26]"
2026,baseline,age_group,"(3.5, 4.75]",,35,1,0.6407834666115897,0.6407834666115897,"(26, 44]"
2026,subject_gender_gap,gender,"(1.999, 2.5]",female,2333,6,0.4711873135850811,0.39297965459206746,
2026,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.2861450719554522,0.34316016997666826,
2026,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.19738846072970434,0.19266210032727846,
2026,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.15603383796303025,0.15298638070836643,
2026,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.3621733948931716,0.3217147837763131,
2026,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4448579296184953,0.4334869590953632,
2026,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7262064509921604,0.7375747763440733,
2026,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7911168141151542,0.6537641852167774,
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3713053314860274,0.33463950745469484,"(13, 20]"
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.5068169826835529,0.5042794216148959,"(20, 22]"
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,2150,3,0.3727434166087661,0.34352603918789054,"(22, 26]"
2026,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.34430295432486185,0.34430295432486185,"(26, 44]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.18391808521286032,0.18388039370783027,"(13, 20]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.20320399625397173,0.19361032526200458,"(20, 22]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.1768765065291177,0.16865446294905004,"(22, 26]"
2026,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.17010652359411993,0.17010652359411993,"(26, 44]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.289557495265427,0.3115118385060251,"(13, 20]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.33714967919513583,0.31566297271061095,"(20, 22]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.45050009771085403,0.43322181717809344,"(22, 26]"
2026,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.3652226674703904,0.3652226674703904,"(26, 44]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.5245267247209454,0.6448013072879754,"(13, 20]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.5945533890473215,0.5945533890473216,"(20, 22]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.8743460593653507,0.9328559305257783,"(22, 26]"
2026,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.4646627221788679,0.4646627221788679,"(26, 44]"
2027,baseline,gender,"(1.999, 2.5]",female,2333,6,0.5684881284928761,0.4793736265581973,
2027,baseline,gender,"(1.999, 2.5]",male,1710,3,0.26956378340024,0.3095405472524588,
2027,baseline,gender,"(2.5, 3.0]",female,5504,6,0.2095503058111252,0.20664309265953798,
2027,baseline,gender,"(2.5, 3.0]",male,2629,3,0.1445777195857568,0.14447993636504333,
2027,baseline,gender,"(3.0, 3.5]",female,2170,6,0.31736140141289354,0.29139947023762064,
2027,baseline,gender,"(3.0, 3.5]",male,785,3,0.4382707732498266,0.4504638995925733,
2027,baseline,gender,"(3.5, 4.75]",female,495,6,0.6853951762420962,0.6818906553704364,
2027,baseline,gender,"(3.5, 4.75]",male,268,3,0.8234187693738225,0.7911043735883271,
2027,baseline,age_group,"(1.999, 2.5]",,1025,3,0.4265878488959336,0.41730878713550384,"(13, 20]"
2027,baseline,age_group,"(1.999, 2.5]",,663,2,0.49748533271916134,0.49337072509458696,"(20, 22]"
2027,baseline,age_group,"(1.999, 2.5]",,2150,3,0.4469260946539945,0.4257067425669317,"(22, 26]"
2027,baseline,age_group,"(1.999, 2.5]",,205,1,0.2890753618100794,0.2890753618100794,"(26, 44]"
2027,baseline,age_group,"(2.5, 3.0]",,2996,3,0.22775768302629723,0.23309093610280315,"(13, 20]"
2027,baseline,age_group,"(2.5, 3.0]",,1717,2,0.19645175436727516,0.1889217169697055,"(20, 22]"
2027,baseline,age_group,"(2.5, 3.0]",,2209,3,0.1519139214520435,0.14967365147918235,"(22, 26]"
2027,baseline,age_group,"(2.5, 3.0]",,1211,1,0.14716116836699053,0.14716116836699053,"(26, 44]"
2027,baseline,age_group,"(3.0, 3.5]",,772,3,0.27353290263852925,0.27862407329712435,"(13, 20]"
2027,baseline,age_group,"(3.0, 3.5]",,512,2,0.3351497557014227,0.3174324060415394,"(20, 22]"
2027,baseline,age_group,"(3.0, 3.5]",,1509,3,0.3759393679376783,0.3729344135803155,"(22, 26]"
2027,baseline,age_group,"(3.0, 3.5]",,162,1,0.5102482474880454,0.5102482474880454,"(26, 44]"
2027,baseline,age_group,"(3.5, 4.75]",,202,3,0.5182919502258301,0.5888958275416992,"(13, 20]"
2027,baseline,age_group,"(3.5, 4.75]",,38,2,0.7532969211277208,0.7532969211277208,"(20, 22]"
2027,baseline,age_group,"(3.5, 4.75]",,488,3,0.8218872307753954,0.8205003201770383,"(22, 26]"
2027,baseline,age_group,"(3.5, 4.75]",,35,1,0.7298747675759452,0.7298747675759452,"(26, 44]"
2027,subject_gender_gap,gender,"(1.999, 2.5]",female,2333,6,0.4969426146710425,0.4505577736357127,
2027,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3174222380097149,0.32103747424891266,
2027,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.2017824384275564,0.19687748804624505,
2027,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.16290907807203245,0.1620261101287532,
2027,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.30569383120207194,0.29211693614135315,
2027,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4163546140026894,0.42234013653177865,
2027,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.6402430664409291,0.6904968626690225,
