run_seed,model,attribute,attention_bin,groups_present,window_mae_gap,subject_balanced_mae_gap
42,subject_gender_gap,gender,"(1.999, 2.5]",2,0.008836469647580836,0.03874653746904305
42,subject_gender_gap,gender,"(2.5, 3.0]",2,0.08197759202819943,0.08722630306419957
42,subject_gender_gap,gender,"(3.0, 3.5]",2,0.058076526822033014,0.022369825123820797
42,subject_gender_gap,gender,"(3.5, 4.75]",2,0.11569204355785068,0.10002220361484138
42,subject_gender_gap,age_group,"(1.999, 2.5]",4,0.15232432754085856,0.21039904310110769
42,subject_gender_gap,age_group,"(2.5, 3.0]",4,0.11270557012246615,0.11400136348342246
42,subject_gender_gap,age_group,"(3.0, 3.5]",4,0.25224636661384503,0.16562604839610695
42,subject_gender_gap,age_group,"(3.5, 4.75]",4,0.2858407225068601,0.2893872339666851
100,subject_gender_gap,gender,"(1.999, 2.5]",2,0.03315609923781815,0.00026055759689380675
100,subject_gender_gap,gender,"(2.5, 3.0]",2,0.05471269622107924,0.043473149626579416
100,subject_gender_gap,gender,"(3.0, 3.5]",2,0.05566547083096779,0.053764520224841905
100,subject_gender_gap,gender,"(3.5, 4.75]",2,0.033074132452251215,0.029852053112614962
100,subject_gender_gap,age_group,"(1.999, 2.5]",4,0.09502321826163118,0.08738726520149226
100,subject_gender_gap,age_group,"(2.5, 3.0]",4,0.07616457142429112,0.06808471913429512
100,subject_gender_gap,age_group,"(3.0, 3.5]",4,0.18615169222984052,0.157718013106672
100,subject_gender_gap,age_group,"(3.5, 4.75]",4,0.3567998917811762,0.3395545173489182
2000,subject_gender_gap,gender,"(1.999, 2.5]",2,0.11291596170594875,0.037566229196360545
2000,subject_gender_gap,gender,"(2.5, 3.0]",2,0.05553805081118529,0.04304968185962266
2000,subject_gender_gap,gender,"(3.0, 3.5]",2,0.07610902464201902,0.10951552519133656
2000,subject_gender_gap,gender,"(3.5, 4.75]",2,0.08793018475999381,0.016273597149414343
2000,subject_gender_gap,age_group,"(1.999, 2.5]",4,0.1938176692772775,0.1799791425751801
