run_seed,model,attribute,attention_bin,gender,n_samples,n_subjects,window_mae,subject_balanced_mae,age_group
42,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.32466701898230127,0.3174004899638162,
42,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3335034886298821,0.35614702743285925,
42,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.2199302176663349,0.2245919677831626,
42,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.13795262563813546,0.13736566471896303,
42,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.44927220553297054,0.36659770157325217,
42,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.3911956787109375,0.38896752669707296,
42,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.8506840041189483,0.8442816931465362,
42,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7349919605610976,0.7442594895316949,
42,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3510967329071789,0.37003071567984236,"(13.0, 20.0]"
42,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.4317061933457042,0.43119059850364416,"(20.0, 22.0]"
42,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.27938186580484564,0.22079155540253648,"(22.0, 26.0]"
42,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.3379960118270502,0.3379960118270502,"(26.0, 44.0]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.19842920085298363,0.18966027677799954,"(13.0, 20.0]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.1453658798508819,0.14356020613045753,"(20.0, 22.0]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.25309143707513704,0.25438723043609335,"(22.0, 26.0]"
42,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.14038586695267088,0.14038586695267088,"(26.0, 44.0]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.2859301990177965,0.29560550766844346,"(13.0, 20.0]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.36746493726968765,0.35965332159591845,"(20.0, 22.0]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.5381765656316415,0.4612315560645504,"(22.0, 26.0]"
42,subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.37667095513991367,0.37667095513991367,"(26.0, 44.0]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.6182551490198268,0.726260379782166,"(13.0, 20.0]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.7067394193850065,0.7067394193850065,"(20.0, 22.0]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.9040958715266869,0.9961266533516916,"(22.0, 26.0]"
42,subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.7178286893027169,0.7178286893027169,"(26.0, 44.0]"
100,subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.36589172179440416,0.33700656428606507,
100,subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.332735622556586,0.3372671218829589,
100,subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.215506233188302,0.2084686603984619,
100,subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.16079353696722276,0.1649955107718825,
100,subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.37892586745424756,0.3529701504554134,
100,subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.43459133828521535,0.4067346706802553,
100,subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7413716653380731,0.7425754411764508,
100,subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7082975328858219,0.7127233880638358,
100,subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3064096325199778,0.30993042947660293,"(13.0, 20.0]"
100,subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.401432850781609,0.3973176946780952,"(20.0, 22.0]"
100,subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.35576662427527206,0.3147267549895902,"(22.0, 26.0]"
100,subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.3652338086104975,0.3652338086104975,"(26.0, 44.0]"
100,subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.21879632761067797,0.21071647532068197,"(13.0, 20.0]"
100,subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.1924379470394181,0.18907162714803358,"(20.0, 22.0]"
100,subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.20380973600056873,0.1976246860873063,"(22.0, 26.0]"
100,subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.14263175618638685,0.14263175618638685,"(26.0, 44.0]"
100,subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.31339664224515923,0.31877053445979087,"(13.0, 20.0]"
100,subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.454513406381011,0.4260797272578425,"(20.0, 22.0]"
