model,attribute,attention_bin,groups_present,window_mae_gap,subject_balanced_mae_gap
baseline,gender,"(1.999, 2.5]",2,0.09118711627237741,0.034745706436453416
baseline,gender,"(2.5, 3.0]",2,0.03612670482982627,0.029033363341100377
baseline,gender,"(3.0, 3.5]",2,0.09931448417615596,0.1187100154353733
baseline,gender,"(3.5, 4.75]",2,0.08986509406241328,0.008864115814278373
baseline,age_group,"(1.999, 2.5]",4,0.08765840689123788,0.08657769327067122
baseline,age_group,"(2.5, 3.0]",4,0.05629073194969972,0.0521670215934974
baseline,age_group,"(3.0, 3.5]",4,0.13514686158291628,0.1224881050266175
baseline,age_group,"(3.5, 4.75]",4,0.3076247277869901,0.26285948937761683
subject_gender_gap,gender,"(1.999, 2.5]",2,0.08743619200842812,0.03193667244414167
subject_gender_gap,gender,"(2.5, 3.0]",2,0.0394276582524746,0.0328950627316322
subject_gender_gap,gender,"(3.0, 3.5]",2,0.08713443585405639,0.11746734172707879
subject_gender_gap,gender,"(3.5, 4.75]",2,0.06471046964830718,0.021721746900277727
subject_gender_gap,age_group,"(1.999, 2.5]",4,0.11217147778161096,0.11822997612846614
subject_gender_gap,age_group,"(2.5, 3.0]",4,0.046781620935278434,0.04152996967085079
subject_gender_gap,age_group,"(3.0, 3.5]",4,0.16839916941751515,0.13479963280480922
subject_gender_gap,age_group,"(3.5, 4.75]",4,0.32413807672652073,0.28691905289530395
