model,attribute,attention_bin,gender,n_samples,n_subjects,window_mae,subject_balanced_mae,age_group
baseline,gender,"(1.999, 2.5]",female,2075,6,0.4158898641862065,0.39288215377096236,
baseline,gender,"(1.999, 2.5]",male,1710,3,0.3247027479138291,0.35813644733450894,
baseline,gender,"(2.5, 3.0]",female,5504,6,0.16771117577026057,0.16177666453401612,
baseline,gender,"(2.5, 3.0]",male,2629,3,0.1315844709404343,0.13274330119291575,
baseline,gender,"(3.0, 3.5]",female,2170,6,0.3191144184802534,0.29510546551803735,
baseline,gender,"(3.0, 3.5]",male,785,3,0.41842890265640936,0.41381548095341064,
baseline,gender,"(3.5, 4.75]",female,495,6,0.7016228885843295,0.728753914661956,
baseline,gender,"(3.5, 4.75]",male,268,3,0.7914879826467428,0.7376180304762344,
baseline,age_group,"(1.999, 2.5]",,1025,3,0.36776808261871335,0.372754180558802,"(13, 20]"
baseline,age_group,"(1.999, 2.5]",,663,2,0.44341953735725553,0.44227976023563614,"(20, 22]"
baseline,age_group,"(1.999, 2.5]",,1892,3,0.35576113046601765,0.3557020669649649,"(22, 26]"
baseline,age_group,"(1.999, 2.5]",,205,1,0.361774001586728,0.361774001586728,"(26, 44]"
baseline,age_group,"(2.5, 3.0]",,2996,3,0.18398095765642233,0.17985724730022,"(13, 20]"
baseline,age_group,"(2.5, 3.0]",,1717,2,0.15031725118933686,0.1486153235475428,"(20, 22]"
baseline,age_group,"(2.5, 3.0]",,2209,3,0.13810925884125944,0.13479909202679194,"(22, 26]"
baseline,age_group,"(2.5, 3.0]",,1211,1,0.12769022570672262,0.12769022570672262,"(26, 44]"
baseline,age_group,"(3.0, 3.5]",,772,3,0.25302438973762825,0.26568314629392703,"(13, 20]"
baseline,age_group,"(3.0, 3.5]",,512,2,0.3650210567750037,0.34785421560752905,"(20, 22]"
baseline,age_group,"(3.0, 3.5]",,1509,3,0.38160081115126054,0.37705003818369076,"(22, 26]"
baseline,age_group,"(3.0, 3.5]",,162,1,0.38817125132054453,0.38817125132054453,"(26, 44]"
baseline,age_group,"(3.5, 4.75]",,202,3,0.5194770401067073,0.6114328733437492,"(13, 20]"
baseline,age_group,"(3.5, 4.75]",,38,2,0.7382806602277254,0.7382806602277254,"(20, 22]"
baseline,age_group,"(3.5, 4.75]",,488,3,0.8271017678936974,0.874292362721366,"(22, 26]"
baseline,age_group,"(3.5, 4.75]",,35,1,0.6516405507496426,0.6516405507496426,"(26, 44]"
subject_gender_gap,gender,"(1.999, 2.5]",female,2075,6,0.401251001093761,0.3761334135330032,
subject_gender_gap,gender,"(1.999, 2.5]",male,1710,3,0.3138148090853329,0.34419674108886156,
subject_gender_gap,gender,"(2.5, 3.0]",female,5504,6,0.17529632022474395,0.16951243246892708,
subject_gender_gap,gender,"(2.5, 3.0]",male,2629,3,0.13586866197226935,0.13661736973729488,
subject_gender_gap,gender,"(3.0, 3.5]",female,2170,6,0.3422767998216339,0.3057436816254474,
subject_gender_gap,gender,"(3.0, 3.5]",male,785,3,0.4294112356756903,0.4232110233525262,
subject_gender_gap,gender,"(3.5, 4.75]",female,495,6,0.7075012696391404,0.7365483324873517,
subject_gender_gap,gender,"(3.5, 4.75]",male,268,3,0.7722117392874476,0.714826585587074,
subject_gender_gap,age_group,"(1.999, 2.5]",,1025,3,0.3586886465491318,0.3583213287274778,"(13, 20]"
subject_gender_gap,age_group,"(1.999, 2.5]",,663,2,0.4478879867815504,0.44607901925687,"(20, 22]"
subject_gender_gap,age_group,"(1.999, 2.5]",,1892,3,0.33571650899993943,0.32784904312840385,"(22, 26]"
subject_gender_gap,age_group,"(1.999, 2.5]",,205,1,0.3387215503832189,0.3387215503832189,"(26, 44]"
subject_gender_gap,age_group,"(2.5, 3.0]",,2996,3,0.17997117830373258,0.17471952703930493,"(13, 20]"
subject_gender_gap,age_group,"(2.5, 3.0]",,1717,2,0.160101322136303,0.15661454903305475,"(20, 22]"
subject_gender_gap,age_group,"(2.5, 3.0]",,2209,3,0.15692597762013302,0.15211648915765622,"(22, 26]"
subject_gender_gap,age_group,"(2.5, 3.0]",,1211,1,0.13318955736845414,0.13318955736845414,"(26, 44]"
subject_gender_gap,age_group,"(3.0, 3.5]",,772,3,0.25081267980713917,0.26710496702114644,"(13, 20]"
subject_gender_gap,age_group,"(3.0, 3.5]",,512,2,0.3723178384359926,0.3541391770171345,"(20, 22]"
subject_gender_gap,age_group,"(3.0, 3.5]",,1509,3,0.4192118492246543,0.40190459982595567,"(22, 26]"
subject_gender_gap,age_group,"(3.0, 3.5]",,162,1,0.3887881052346877,0.3887881052346877,"(26, 44]"
subject_gender_gap,age_group,"(3.5, 4.75]",,202,3,0.508326545210168,0.6220400477444157,"(13, 20]"
subject_gender_gap,age_group,"(3.5, 4.75]",,38,2,0.7155301476779737,0.7155301476779736,"(20, 22]"
subject_gender_gap,age_group,"(3.5, 4.75]",,488,3,0.8324646219366887,0.8883770914978605,"(22, 26]"
subject_gender_gap,age_group,"(3.5, 4.75]",,35,1,0.6014580386025565,0.6014580386025565,"(26, 44]"
