run_seed,baseline_subject_gender_worst_group_mae,candidate_subject_gender_worst_group_mae,subject_gender_worst_group_gain,baseline_subject_gender_gap,candidate_subject_gender_gap,subject_gender_gap_reduction,baseline_subject_gender_mae_per_group
42,0.2806729942657122,0.3010951929449393,-0.02042219867922712,0.005893365155119956,0.040713151630604294,-0.03481978647548434,"{'female': 0.2806729942657122, 'male': 0.2747796291105922}"
100,0.2712222396646586,0.29768453953741797,-0.026462299872759387,0.00505135012931518,0.02194187026889849,-0.01689052013958331,"{'female': 0.2712222396646586, 'male': 0.2661708895353434}"
2000,0.280351204547093,0.29605719239442935,-0.015705987847336345,0.006068851125487662,0.031511741283606565,-0.025442890158118903,"{'female': 0.280351204547093, 'male': 0.27428235342160534}"
2025,0.2811290370812373,0.27564981088064416,0.005479226200593157,0.019972824786590404,0.008587636234894114,0.01138518855169629,"{'female': 0.2811290370812373, 'male': 0.2611562122946469}"
2026,0.30172481967780995,0.29190845786384767,0.009816361813962282,0.021658847763151523,0.023967072322429728,-0.0023082245592782047,"{'female': 0.30172481967780995, 'male': 0.28006597191465843}"
2027,0.3213107438526442,0.2888661419854909,0.03244460186715331,0.0626209235678814,0.014553734750847647,0.04806718881703376,"{'female': 0.3213107438526442, 'male': 0.2586898202847628}"
2048,0.27334810006143534,0.28858424265072286,-0.015236142589287516,0.008010667876779787,0.008076873383365268,-6.620550658548163e-05,"{'female': 0.26533743218465555, 'male': 0.27334810006143534}"
4096,0.28337455825269176,0.2831838745224278,0.0001906837302639297,0.019660869205641418,0.02867814808575636,-0.009017278880114943,"{'female': 0.28337455825269176, 'male': 0.26371368904705034}"
7000,0.2949228485623963,0.2820858392642614,0.012837009298134916,0.02475357212028817,0.0007496540695239862,0.024003918050764184,"{'female': 0.2949228485623963, 'male': 0.27016927644210814}"
8192,0.2727792949062283,0.2892262389353184,-0.016446944029090083,0.0010713581484506074,0.027199045725277926,-0.02612768757682732,"{'female': 0.2717079367577777, 'male': 0.2727792949062283}"
